Cost Center,Budget Orgn,Budget Unit,Account,Account Title,2019-2020 Actual,2020-2021 Actual,2021-2022 Budget,2021-2022 FTE,2022-2023 Proposed,2022-2023 FTE,2022-2023 Approved,2022-2023 Adopted,Fund,Fund Title
001,1001225001320000 - OUT DIST/SPED,100-1225-001-320,371.0,TUITION W/IN STATE,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1001226001320000 - HOME INST/SPED,100-1226-001-320,340.0,TRAVEL,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,340.0,TRAVEL,96.86,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002130001000000 - HEALTH SRV/NONSPD,100-2130-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,1300.0,0.0,1300.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002140001320000 - PSYCHOLOGICAL SRV/SPED,100-2140-001-320,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,111.0,LIC SALARIES,76344.19,78910.79,0.0,0.0,105500.0,1.5,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,211.0,PERS EMPLOYER CONTRIBUTN,9957.93,8479.07,0.0,0.0,13387.86,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,7867.73,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,213.0,PERS UAL SERIES 2002,4654.11,6249.08,0.0,0.0,7211.22,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,214.0,PERS UAL SERIES 2003,6205.55,4799.74,0.0,0.0,5905.09,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,220.0,SOC SEC ADMIN,5717.39,5863.09,0.0,0.0,8281.75,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,231.0,WRKRS COMP,312.93,271.43,0.0,0.0,580.25,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,241.0,MED-DEN-VIS,16148.04,17003.4,0.0,0.0,17804.64,0.0,0.0,0.0,100,GENERAL FUND
001,1002150001320000 - SPEECH-AUDIOLOGY SRV/SPED,100-2150-001-320,242.0,OTHER CONTRACTED BENES,1000.0,1000.0,0.0,0.0,422.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002160001320000 - OTH STU TREATMENT SRV/SPD,100-2160-001-320,313.0,STUDENT SERVICES,0.0,51636.51,40000.0,0.0,20000.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,319.0,INSTR/PROF/TECH SRVS,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002219001000000 - OTH IMPRVT INSTR SRVS,100-2219-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002219001575000 - SUPT PROG SUPPORT,100-2219-001-575,410.0,CONSUMB SUP MAT,0.0,0.0,50000.0,0.0,7366.62,0.0,0.0,0.0,100,GENERAL FUND
001,1002230001000000 - ASSESSMENT & TESTING,100-2230-001-000,311.0,INSTR SRVS - SUBS,0.0,0.0,3800.0,0.0,3800.0,0.0,0.0,0.0,100,GENERAL FUND
001,1002310001000000 - BD OF ED,100-2310-001-000,114.0,MGR/CONFIDENTIAL,12071.92,11854.6,12700.0,0.25,12814.25,0.25,0.0,0.0,100,GENERAL FUND
